,0
e1_e299_SLC17A7_L5b_Cdh13,1356
g1_g48_GLI3_Astro_Gja1,583
g2_g27_APBB1IP_Micro_Ctss,420
g3_g18_GPNMB_OPC_Pdgfra,353
g4_g9_MOG_Oligo_Opalin,571
i10_i16_TSPAN12_Vip_Mybpc1,1007
i11_i6_EGF_Vip_Mybpc1,1912
i1_i90_COL5A2_Ndnf_Car4,238
i2_i77_LHX6_Sst_Cbln4,292
i3_i56_BAGE2_Ndnf_Cxcl14,151
i4_i54_MC4R_Ndnf_Cxcl14,223
i5_i47_TRPC3_Ndnf_Car4,942
i6_i44_GPR149_Vip_Mybpc1,377
i7_i31_CLMP_Ndnf_Cxcl14,1012
i8_i27_SNCG_Vip_Mybpc1,1326
i9_i22_TAC3_Vip_Mybpc1,1005
