clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
i11_i6_EGF_Vip_Mybpc1,FAM133A,0.011201963103038932,8.373571,0.9446397463480631
i11_i6_EGF_Vip_Mybpc1,PARP16,0.006738948063611615,5.227664,0.9351531624794006
i11_i6_EGF_Vip_Mybpc1,CTGLF8P,0.0059112133271707135,4.803665,0.8935545563697815
i11_i6_EGF_Vip_Mybpc1,ARHGAP18,0.00649217876451782,8.090925,0.8748490571975708
i1_i90_COL5A2_Ndnf_Car4,NMBR,0.035272171878368036,5.2073426,1.0
i1_i90_COL5A2_Ndnf_Car4,COL5A2,0.09326885814614808,9.2488985,0.9855838696161906
i1_i90_COL5A2_Ndnf_Car4,C8ORF4,0.016373842491699188,6.457099,0.9397780140240987
i1_i90_COL5A2_Ndnf_Car4,PAPSS2,0.019777647472176235,6.7548256,0.9333333333333333
i1_i90_COL5A2_Ndnf_Car4,TRPC3,0.016784251852760498,5.7813597,0.9333333333333333
i1_i90_COL5A2_Ndnf_Car4,BMP6,0.018598443801397548,6.679326,0.9226675709088643
i1_i90_COL5A2_Ndnf_Car4,SST,0.038914019318369415,7.4958496,0.9209994514783223
i1_i90_COL5A2_Ndnf_Car4,CBLN4,0.02333412151890213,6.9942536,0.9186078627904256
i1_i90_COL5A2_Ndnf_Car4,NPNT,0.043279758223973945,6.8758764,0.9167624990145365
i1_i90_COL5A2_Ndnf_Car4,NDNF,0.05345357305137128,8.08461,0.8976689736048381
i2_i77_LHX6_Sst_Cbln4,LHX6,0.07388557833759096,4.643856,1.0
i2_i77_LHX6_Sst_Cbln4,FLT3,0.049323766627550975,5.044394,1.0
i2_i77_LHX6_Sst_Cbln4,TAC1,0.033174223213524937,2.0,1.0
i2_i77_LHX6_Sst_Cbln4,CALB1,0.029726469662075438,4.9068904,1.0
i2_i77_LHX6_Sst_Cbln4,RSPO3,0.02523233069536387,1.0,1.0
i2_i77_LHX6_Sst_Cbln4,TRBC2,0.022016908934707365,5.044394,1.0
i2_i77_LHX6_Sst_Cbln4,GRIK3,0.07237811210851577,7.6293564,0.9912618239720662
i2_i77_LHX6_Sst_Cbln4,CNTNAP3,0.022929119836020296,5.2094536,0.9027430136998494
i2_i77_LHX6_Sst_Cbln4,CMTM8,0.023443725816158705,5.357552,0.8591156482696534
i2_i77_LHX6_Sst_Cbln4,SLC27A6,0.036162867743210536,6.8703647,0.8584746281305949
i3_i56_BAGE2_Ndnf_Cxcl14,BAGE2,0.08342988785543852,6.649604,0.9899743398030599
i3_i56_BAGE2_Ndnf_Cxcl14,SCN5A,0.03852235024867312,2.160964,0.9691495736440022
i3_i56_BAGE2_Ndnf_Cxcl14,GREM2,0.03355248331425776,5.70044,0.8906636953353881
i3_i56_BAGE2_Ndnf_Cxcl14,FAM19A4,0.016560654839792712,5.4092913,0.8717109680175781
i3_i56_BAGE2_Ndnf_Cxcl14,SYT10,0.06331412040556691,7.3748035,0.8708965023358662
i3_i56_BAGE2_Ndnf_Cxcl14,ARHGAP18,0.04038374878913683,7.0978785,0.8666666666666667
i3_i56_BAGE2_Ndnf_Cxcl14,GRB14,0.027238318258121817,6.5077076,0.8582553863525391
i3_i56_BAGE2_Ndnf_Cxcl14,PCDH18,0.020597324580483203,6.2205644,0.8486162106196086
i3_i56_BAGE2_Ndnf_Cxcl14,CD36,0.01665636633378426,5.985053,0.8296641747156779
i3_i56_BAGE2_Ndnf_Cxcl14,ADAMTSL1,0.02481149815847387,3.3774438,0.7989643613497416
i4_i54_MC4R_Ndnf_Cxcl14,ARHGAP36,0.09419149333739399,8.645603,1.0
i4_i54_MC4R_Ndnf_Cxcl14,MC4R,0.05079381204073122,7.7000394,1.0
i4_i54_MC4R_Ndnf_Cxcl14,COBLL1,0.02213656554559159,5.9307375,0.9662773847579956
