clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
i11_i6_EGF_Vip_Mybpc1,RPL23AP32,0.006164489364552793,1.5849625,1.0
i11_i6_EGF_Vip_Mybpc1,TEKT1,0.005726586635632335,0.5,1.0
i11_i6_EGF_Vip_Mybpc1,RPUSD4,0.005394300975966647,0.5,1.0
i11_i6_EGF_Vip_Mybpc1,MLX,0.0049998195593578855,2.1239638,0.9843060731887816
i11_i6_EGF_Vip_Mybpc1,NRG3_AS1,0.007488373807595679,3.660964,0.9817898591359456
i1_i90_COL5A2_Ndnf_Car4,NMBR,0.02251469594641719,5.2073426,1.0
i1_i90_COL5A2_Ndnf_Car4,COL5A2,0.05611200341481511,9.2488985,0.9855838696161906
i1_i90_COL5A2_Ndnf_Car4,SST,0.02652442000545057,7.4958496,0.9209994514783224
i1_i90_COL5A2_Ndnf_Car4,CBLN4,0.018448763268541436,6.9942536,0.9186078627904256
i1_i90_COL5A2_Ndnf_Car4,NPNT,0.030013751603854652,6.8758764,0.9167624990145364
i1_i90_COL5A2_Ndnf_Car4,NDNF,0.032921760283444026,8.08461,0.8976689736048381
i1_i90_COL5A2_Ndnf_Car4,FREM1,0.03193260860740653,9.038896,0.8366525570551554
i1_i90_COL5A2_Ndnf_Car4,LAMA3,0.018173812431747836,5.8201227,0.8
i1_i90_COL5A2_Ndnf_Car4,FAT1,0.029171982711580127,8.100546,0.7755310972531636
i1_i90_COL5A2_Ndnf_Car4,GRM8,0.025279005980637762,8.756548,0.7564346472422282
i2_i77_LHX6_Sst_Cbln4,LHX6,0.05284929272328456,4.643856,1.0
i2_i77_LHX6_Sst_Cbln4,FLT3,0.034458336912544955,5.044394,1.0
i2_i77_LHX6_Sst_Cbln4,TAC1,0.02528405525495334,2.0,1.0
i2_i77_LHX6_Sst_Cbln4,CALB1,0.02190507887535918,4.9068904,1.0
i2_i77_LHX6_Sst_Cbln4,TRBC2,0.019741302928136605,5.044394,1.0
